feature_name,feature_importance,sensor,agg,axis
tGravityAcc-max()-X,0.03512663103270333,tGravityAcc,max(),X
tGravityAcc-max()-Y,0.034217208420943265,tGravityAcc,max(),Y
tGravityAcc-mean()-X,0.03339483778278917,tGravityAcc,mean(),X
"angle(X,gravityMean)",0.03183427240191762,angle,X,gravityMean
tGravityAcc-mean()-Y,0.02829761728121895,tGravityAcc,mean(),Y
tGravityAcc-min()-Y,0.028182041745740884,tGravityAcc,min(),Y
tGravityAcc-energy()-X,0.027889911906153503,tGravityAcc,energy(),X
"angle(Y,gravityMean)",0.020287834462790255,angle,Y,gravityMean
tGravityAcc-min()-X,0.018079078297475345,tGravityAcc,min(),X
tBodyAccJerk-sma(),0.01221036176634061,tBodyAccJerk,sma(),
tGravityAcc-mean()-Z,0.011632278583106776,tGravityAcc,mean(),Z
tBodyAccMag-std(),0.01107013862579078,tBodyAccMag,std(),
tBodyAccJerkMag-mean(),0.010529706649133662,tBodyAccJerkMag,mean(),
tBodyAcc-max()-X,0.010447683943923812,tBodyAcc,max(),X
fBodyAccMag-energy(),0.009922038102515142,fBodyAccMag,energy(),
"fBodyAccJerk-bandsEnergy()-1,16",0.00954275222040366,fBodyAccJerk,bandsEnergy(),"1,16"
tGravityAcc-max()-Z,0.009481681182355704,tGravityAcc,max(),Z
"tGravityAcc-arCoeff()-Z,3",0.009012246060476061,tGravityAcc,arCoeff(),"Z,3"
fBodyAccJerk-std()-X,0.008846023152703851,fBodyAccJerk,std(),X
"fBodyAccJerk-bandsEnergy()-1,8",0.00856299573533908,fBodyAccJerk,bandsEnergy(),"1,8"
"fBodyAcc-bandsEnergy()-1,24",0.008550506911711657,fBodyAcc,bandsEnergy(),"1,24"
tBodyGyroJerk-iqr()-Z,0.008447171532117569,tBodyGyroJerk,iqr(),Z
"tGravityAcc-arCoeff()-Z,1",0.008326486562362977,tGravityAcc,arCoeff(),"Z,1"
"tGravityAcc-arCoeff()-Z,2",0.008268663025574621,tGravityAcc,arCoeff(),"Z,2"
tGravityAcc-energy()-Y,0.008147269521176632,tGravityAcc,energy(),Y
fBodyAcc-mad()-X,0.007803192694917865,fBodyAcc,mad(),X
tGravityAcc-energy()-Z,0.0077357365603261275,tGravityAcc,energy(),Z
tBodyAccMag-mad(),0.007511760564559718,tBodyAccMag,mad(),
"tGravityAcc-arCoeff()-Z,4",0.007332707343960555,tGravityAcc,arCoeff(),"Z,4"
fBodyAccMag-sma(),0.007248084964745465,fBodyAccMag,sma(),
"angle(Z,gravityMean)",0.007146463687695205,angle,Z,gravityMean
fBodyAcc-energy()-X,0.007037939255279405,fBodyAcc,energy(),X
tGravityAcc-min()-Z,0.006839445886774728,tGravityAcc,min(),Z
tGravityAccMag-std(),0.006806534774992745,tGravityAccMag,std(),
"fBodyAcc-bandsEnergy()-9,16",0.006692753460521732,fBodyAcc,bandsEnergy(),"9,16"
fBodyGyro-maxInds-Z,0.00643256092277158,fBodyGyro,maxInds,Z
tBodyAccJerk-energy()-Y,0.006424366603410611,tBodyAccJerk,energy(),Y
"tGravityAcc-arCoeff()-Y,1",0.006402841125226469,tGravityAcc,arCoeff(),"Y,1"
fBodyAccJerk-max()-X,0.006327069561331539,fBodyAccJerk,max(),X
fBodyAccJerk-energy()-X,0.006195432363574662,fBodyAccJerk,energy(),X
fBodyAcc-mean()-X,0.005944833277444908,fBodyAcc,mean(),X
tGravityAccMag-arCoeff()1,0.0057686325344532986,tGravityAccMag,arCoeff()1,
tBodyAccJerkMag-mad(),0.005343372931627534,tBodyAccJerkMag,mad(),
"tBodyAcc-correlation()-X,Y",0.005244641211337409,tBodyAcc,correlation(),"X,Y"
"fBodyAcc-bandsEnergy()-1,8",0.005213557891843599,fBodyAcc,bandsEnergy(),"1,8"
tBodyAccMag-max(),0.0051947330113468505,tBodyAccMag,max(),
"tGravityAcc-arCoeff()-Y,2",0.005141085150790002,tGravityAcc,arCoeff(),"Y,2"
"tGravityAcc-arCoeff()-X,4",0.005050838809860997,tGravityAcc,arCoeff(),"X,4"
tBodyAcc-std()-X,0.005027191543874623,tBodyAcc,std(),X
fBodyAccMag-mad(),0.004938759273456117,fBodyAccMag,mad(),
"tGravityAcc-arCoeff()-X,2",0.004938433698392113,tGravityAcc,arCoeff(),"X,2"
tGravityAcc-entropy()-Y,0.0049232073103364984,tGravityAcc,entropy(),Y
fBodyAccJerk-std()-Y,0.004902338814660977,fBodyAccJerk,std(),Y
tBodyAccJerkMag-iqr(),0.004847660701912592,tBodyAccJerkMag,iqr(),
"tGravityAcc-arCoeff()-Y,3",0.004838873164299353,tGravityAcc,arCoeff(),"Y,3"
fBodyAccJerk-sma(),0.004715003096834601,fBodyAccJerk,sma(),
fBodyAcc-entropy()-X,0.004568785103202011,fBodyAcc,entropy(),X
tBodyGyroJerk-iqr()-X,0.00453019529451025,tBodyGyroJerk,iqr(),X
tBodyAccMag-arCoeff()1,0.004451140295631836,tBodyAccMag,arCoeff()1,
"fBodyAccJerk-bandsEnergy()-9,16",0.004427690435067731,fBodyAccJerk,bandsEnergy(),"9,16"
tBodyAccJerkMag-sma(),0.0044008878750687016,tBodyAccJerkMag,sma(),
tBodyAccJerk-iqr()-Z,0.004399999629364906,tBodyAccJerk,iqr(),Z
"fBodyAccJerk-bandsEnergy()-1,24",0.004381594735068794,fBodyAccJerk,bandsEnergy(),"1,24"
tBodyAccJerk-entropy()-X,0.004358852373361659,tBodyAccJerk,entropy(),X
"tGravityAcc-arCoeff()-X,3",0.004317269827635186,tGravityAcc,arCoeff(),"X,3"
fBodyAcc-max()-X,0.004304162222504649,fBodyAcc,max(),X
"fBodyAccJerk-bandsEnergy()-1,8.1",0.004297455364111141,fBodyAccJerk,bandsEnergy(),"1,8.1"
"fBodyAcc-bandsEnergy()-1,16",0.004284905313727077,fBodyAcc,bandsEnergy(),"1,16"
fBodyGyro-sma(),0.004281460165870258,fBodyGyro,sma(),
tBodyGyro-mad()-Y,0.004270732431861475,tBodyGyro,mad(),Y
tGravityAccMag-mad(),0.0042513043603102565,tGravityAccMag,mad(),
fBodyBodyAccJerkMag-sma(),0.004243187481515475,fBodyBodyAccJerkMag,sma(),
tBodyGyroJerkMag-mean(),0.004214570665695933,tBodyGyroJerkMag,mean(),
tBodyAccJerk-mad()-X,0.004205672607793011,tBodyAccJerk,mad(),X
"tGravityAcc-arCoeff()-X,1",0.004011210422218314,tGravityAcc,arCoeff(),"X,1"
fBodyAccMag-mean(),0.0039872994431517615,fBodyAccMag,mean(),
fBodyAcc-skewness()-X,0.003923635577613723,fBodyAcc,skewness(),X
"tGravityAcc-correlation()-X,Y",0.0035320215003507927,tGravityAcc,correlation(),"X,Y"
fBodyAcc-std()-X,0.003464642302116613,fBodyAcc,std(),X
fBodyAcc-sma(),0.0034447743036735935,fBodyAcc,sma(),
fBodyAcc-meanFreq()-Z,0.0033552683014095785,fBodyAcc,meanFreq(),Z
tGravityAcc-entropy()-X,0.003332949527107508,tGravityAcc,entropy(),X
tGravityAcc-mad()-X,0.0032721056719580656,tGravityAcc,mad(),X
tBodyAccJerk-energy()-X,0.003129679188199464,tBodyAccJerk,energy(),X
"tGravityAcc-correlation()-Y,Z",0.0030844184746838116,tGravityAcc,correlation(),"Y,Z"
tBodyAccMag-energy(),0.0029417974346371916,tBodyAccMag,energy(),
